Date,Server_ID,CPU_Usage(%),RAM_Usage(%),Internal_Temp(C),External_Temp(C),Energy_Usage(kWh),Fan_Status,Failure_Probability,Comments
2024-10-04,Server_8,78.97,80.01,66.88,16.46,81.22,Working,0.58,No issue
2024-10-04,Server_9,20.71,52.05,42.7,20.12,31.32,Warning,0.0,Overheating
2024-10-04,Server_10,91.56,35.58,35.38,39.73,64.91,Working,0.0,No issue
2024-10-04,Server_11,62.45,66.62,65.97,31.9,70.39,Working,0.69,No issue
2024-10-04,Server_12,57.11,87.56,48.77,17.92,63.53,Working,0.01,No issue
2024-10-04,Server_13,77.97,77.04,39.49,28.74,77.06,Warning,0.0,Overheating
2024-10-04,Server_14,85.74,53.16,54.06,15.51,79.26,Warning,0.08,Power fluctuation
2024-10-04,Server_15,44.9,25.34,32.32,25.92,40.8,Working,0.0,No issue
2024-10-04,Server_16,57.11,50.19,36.53,25.41,48.32,Failed,0.0,Power fluctuation
2024-10-04,Server_17,68.9,70.84,50.82,26.01,63.7,Working,0.08,No issue
2024-10-04,Server_18,82.8,23.28,36.38,15.41,58.22,Warning,0.0,Overheating
2024-10-04,Server_19,18.75,48.6,64.22,17.52,40.69,Working,0.4,No issue
2024-10-04,Server_20,17.86,25.86,46.08,19.07,36.0,Working,0.0,No issue
2024-10-05,Server_1,15.15,61.22,70.65,32.95,35.35,Warning,0.71,Overheating
2024-10-05,Server_2,21.86,77.21,77.17,36.76,62.1,Working,0.81,No issue
2024-10-05,Server_3,38.89,40.12,67.48,37.98,39.69,Working,0.65,No issue
2024-10-05,Server_4,43.11,59.88,70.19,31.51,48.9,Working,0.69,No issue
2024-10-05,Server_5,14.91,41.49,52.37,18.19,31.93,Working,0.23,No issue
2024-10-05,Server_6,64.46,80.54,74.58,37.57,71.56,Working,0.6,No issue
2024-10-05,Server_7,13.55,78.77,65.59,20.56,42.4,Working,0.64,No issue
2024-10-05,Server_8,53.48,51.61,69.4,20.67,60.63,Working,0.68,No issue
2024-10-05,Server_9,69.88,79.49,50.0,15.21,75.07,Working,0.05,No issue
2024-10-05,Server_10,26.71,50.79,32.27,38.24,31.59,Warning,0.0,No issue
2024-10-05,Server_11,40.06,23.87,77.28,38.95,43.03,Working,0.95,No issue
2024-10-05,Server_12,76.68,30.8,36.01,20.93,57.44,Working,0.0,No issue
2024-10-05,Server_13,79.94,23.6,71.0,24.93,55.62,Working,0.61,No issue
2024-10-05,Server_14,48.89,69.62,73.3,38.9,60.05,Warning,0.78,Fan noise
2024-10-05,Server_15,29.25,79.02,72.58,29.19,54.01,Working,0.81,No issue
2024-10-05,Server_16,70.86,48.98,61.34,29.66,64.09,Working,0.57,No issue
2024-10-05,Server_17,43.61,45.04,33.36,20.92,35.55,Working,0.0,No issue
2024-10-05,Server_18,76.04,74.8,35.67,23.17,68.47,Warning,0.0,Fan noise
2024-10-05,Server_19,79.66,56.35,39.12,18.05,72.31,Working,0.0,No issue
2024-10-05,Server_20,80.37,55.19,65.29,35.95,71.96,Working,0.4,No issue
2024-10-06,Server_1,84.65,89.23,51.68,25.55,78.74,Working,0.04,No issue
2024-10-06,Server_2,34.84,88.51,59.41,33.34,51.61,Working,0.4,No issue
2024-10-06,Server_3,42.38,39.18,48.02,18.17,51.2,Working,0.0,No issue
2024-10-06,Server_4,32.79,38.19,75.04,32.55,44.8,Working,0.81,No issue
2024-10-06,Server_5,13.35,39.25,32.6,17.07,24.95,Working,0.0,No issue
2024-10-06,Server_6,39.02,80.01,68.96,36.62,61.94,Working,0.58,No issue
2024-10-06,Server_7,54.86,43.17,55.83,29.53,38.8,Working,0.31,No issue
2024-10-06,Server_8,13.95,80.06,55.38,26.36,41.97,Working,0.1,No issue
2024-10-06,Server_9,18.27,38.52,52.83,25.85,19.76,Working,0.0,No issue
2024-10-06,Server_10,10.11,50.41,30.51,28.9,33.82,Working,0.0,No issue
2024-10-06,Server_11,60.97,77.16,64.61,28.54,66.36,Working,0.57,No issue
2024-10-06,Server_12,49.4,64.81,43.86,33.48,51.95,Working,0.0,No issue
2024-10-06,Server_13,59.54,64.53,62.65,19.77,63.85,Working,0.6,No issue
2024-10-06,Server_14,51.73,39.32,75.09,35.83,55.78,Working,0.9,No issue
2024-10-06,Server_15,52.42,52.81,68.0,15.32,55.78,Warning,0.59,Overheating
2024-10-06,Server_16,25.41,45.86,70.99,25.71,51.9,Working,0.64,No issue
2024-10-06,Server_17,88.26,47.69,64.72,35.21,64.07,Warning,0.44,Power fluctuation
2024-10-06,Server_18,90.32,83.51,41.89,30.99,68.26,Working,0.0,No issue
2024-10-06,Server_19,33.33,66.43,41.1,21.91,42.02,Working,0.0,No issue
2024-10-06,Server_20,51.94,64.25,79.99,15.66,64.14,Working,0.95,No issue
2024-10-07,Server_1,34.84,70.33,75.94,30.93,54.31,Working,0.91,No issue
2024-10-07,Server_2,67.93,35.87,32.05,16.3,55.16,Working,0.0,No issue
2024-10-07,Server_3,93.54,64.94,59.37,16.42,77.58,Working,0.19,No issue
2024-10-07,Server_4,64.35,33.42,52.9,36.61,50.31,Working,0.0,No issue
2024-10-07,Server_5,12.99,72.16,37.03,19.4,37.73,Working,0.0,No issue
2024-10-07,Server_6,90.55,34.74,40.43,18.4,59.29,Working,0.0,No issue
2024-10-07,Server_7,11.13,21.04,44.34,35.37,26.12,Working,0.0,No issue
2024-10-07,Server_8,62.01,45.59,30.27,22.44,47.39,Working,0.0,No issue
2024-10-07,Server_9,44.76,87.27,55.79,23.98,55.33,Working,0.0,No issue
2024-10-07,Server_10,13.94,48.77,73.53,18.2,40.72,Failed,0.78,Power fluctuation
2024-10-07,Server_11,18.76,54.71,39.58,36.38,31.77,Working,0.0,No issue
2024-10-07,Server_12,61.96,85.49,33.28,33.2,73.48,Working,0.0,No issue
2024-10-07,Server_13,59.31,81.99,40.54,17.05,62.8,Working,0.0,No issue
2024-10-07,Server_14,72.97,27.65,41.3,23.48,56.27,Working,0.0,No issue
2024-10-07,Server_15,41.24,63.7,58.14,30.41,46.14,Working,0.33,No issue
2024-10-07,Server_16,40.07,20.76,76.08,22.23,39.77,Working,0.93,No issue
2024-10-07,Server_17,33.27,73.24,75.12,34.01,52.57,Working,0.87,No issue
2024-10-07,Server_18,85.45,70.42,30.33,33.21,70.02,Working,0.0,No issue
2024-10-07,Server_19,26.02,25.25,44.11,21.98,29.93,Working,0.0,No issue
2024-10-07,Server_20,34.37,76.66,60.93,15.38,56.0,Failed,0.35,Overheating
2024-10-08,Server_1,52.46,23.73,44.02,26.07,30.19,Working,0.16,No issue
2024-10-08,Server_2,83.8,45.06,40.26,26.02,52.53,Working,0.0,No issue
2024-10-08,Server_3,65.95,86.71,64.85,30.89,77.56,Working,0.4,No issue
2024-10-08,Server_4,87.3,62.59,48.3,31.66,73.01,Working,0.0,No issue
2024-10-08,Server_5,65.71,72.75,47.97,24.45,65.42,Working,0.0,No issue
2024-10-08,Server_6,34.65,46.62,74.31,28.43,51.26,Warning,0.78,Fan noise
2024-10-08,Server_7,24.87,31.07,77.41,15.67,42.23,Working,0.85,No issue
2024-10-08,Server_8,35.7,33.77,74.25,39.77,39.48,Working,0.85,No issue
2024-10-08,Server_9,36.25,78.87,46.33,35.38,49.51,Working,0.0,No issue
2024-10-08,Server_10,45.55,32.57,48.33,20.33,36.45,Working,0.07,No issue
2024-10-08,Server_11,40.3,25.41,30.37,28.21,33.05,Working,0.0,No issue
2024-10-08,Server_12,57.49,45.03,79.44,21.57,55.45,Warning,0.9,Fan noise
2024-10-08,Server_13,87.01,71.47,73.87,24.31,79.59,Working,0.95,No issue
2024-10-08,Server_14,94.79,84.53,41.11,35.57,85.59,Working,0.0,No issue
2024-10-08,Server_15,40.74,26.3,77.77,16.63,33.1,Working,0.8,No issue
2024-10-08,Server_16,46.91,89.21,46.6,22.29,59.91,Working,0.0,No issue
2024-10-08,Server_17,12.83,87.29,48.59,16.83,39.39,Working,0.0,No issue
2024-10-08,Server_18,37.08,59.04,45.24,15.47,43.77,Working,0.09,No issue
2024-10-08,Server_19,24.03,60.34,54.96,28.64,40.49,Working,0.14,No issue
2024-10-08,Server_20,66.81,45.59,65.76,29.34,61.74,Working,0.63,No issue
2024-10-09,Server_1,15.63,32.74,70.99,38.34,28.76,Working,0.84,No issue
2024-10-09,Server_2,38.2,63.3,76.29,22.59,48.29,Working,1.0,No issue
2024-10-09,Server_3,86.42,25.76,54.94,34.66,59.32,Warning,0.13,Power fluctuation
2024-10-09,Server_4,55.09,24.98,43.47,21.37,45.33,Working,0.0,No issue
2024-10-09,Server_5,35.95,56.71,71.75,36.01,51.14,Warning,0.77,Power fluctuation
2024-10-09,Server_6,55.22,65.51,37.57,38.68,53.88,Working,0.0,No issue
2024-10-09,Server_7,89.43,61.6,76.64,34.93,73.49,Working,0.87,No issue
2024-10-09,Server_8,45.02,78.25,63.33,38.77,63.31,Working,0.46,No issue
2024-10-09,Server_9,75.81,37.13,53.61,16.14,59.62,Working,0.09,No issue
2024-10-09,Server_10,31.22,50.92,33.15,22.66,37.26,Working,0.0,No issue
2024-10-09,Server_11,72.01,50.33,64.51,39.11,66.68,Working,0.38,No issue
2024-10-09,Server_12,66.34,33.6,58.85,36.14,52.78,Working,0.37,No issue
2024-10-09,Server_13,42.22,49.83,45.99,19.27,46.87,Working,0.0,No issue
2024-10-09,Server_14,49.3,82.91,61.73,29.42,61.4,Working,0.32,No issue
2024-10-09,Server_15,14.99,50.46,54.05,39.0,29.18,Working,0.04,No issue
2024-10-09,Server_16,12.97,44.94,52.71,27.37,32.51,Working,0.09,No issue
2024-10-09,Server_17,31.89,57.08,45.36,20.25,49.61,Failed,0.0,No issue
2024-10-09,Server_18,75.71,43.23,65.58,29.64,67.74,Working,0.54,No issue
2024-10-09,Server_19,35.58,57.84,53.83,24.78,37.47,Failed,0.09,Overheating
2024-10-09,Server_20,59.97,31.05,72.4,37.5,49.61,Working,0.72,No issue
2024-10-10,Server_1,87.87,33.23,76.89,35.17,69.15,Warning,0.97,Power fluctuation
2024-10-10,Server_2,74.75,61.41,57.01,21.61,73.68,Failed,0.21,Fan noise
2024-10-10,Server_3,18.05,32.23,77.0,32.57,38.01,Working,0.96,No issue
2024-10-10,Server_4,36.25,80.92,72.57,32.24,57.74,Working,0.69,No issue
2024-10-10,Server_5,63.35,49.0,78.19,16.6,68.99,Working,0.93,No issue
2024-10-10,Server_6,91.79,56.29,30.9,19.7,73.79,Working,0.0,No issue
2024-10-10,Server_7,62.23,70.79,66.46,17.57,66.47,Working,0.46,No issue
2024-10-10,Server_8,12.17,36.32,58.41,37.56,35.43,Working,0.26,No issue
2024-10-10,Server_9,86.3,23.65,67.85,26.15,63.03,Working,0.59,No issue
2024-10-10,Server_10,25.31,77.45,46.51,20.92,46.0,Working,0.0,No issue
2024-10-10,Server_11,37.98,89.49,67.43,16.88,65.75,Working,0.61,No issue
2024-10-10,Server_12,55.7,69.91,42.41,16.03,59.25,Working,0.0,No issue
2024-10-10,Server_13,32.03,88.0,59.4,16.13,60.44,Working,0.27,No issue
2024-10-10,Server_14,70.76,89.38,61.39,19.82,74.13,Working,0.5,No issue
2024-10-10,Server_15,91.59,80.59,53.07,20.84,92.06,Working,0.19,No issue
2024-10-10,Server_16,38.86,48.47,79.68,15.39,51.3,Working,1.0,No issue
2024-10-10,Server_17,72.76,80.36,50.19,18.46,80.0,Working,0.0,No issue
2024-10-10,Server_18,27.59,87.36,67.35,37.79,55.96,Working,0.67,No issue
2024-10-10,Server_19,28.3,45.98,49.7,38.41,45.81,Working,0.0,No issue
2024-10-10,Server_20,88.07,74.1,71.53,17.37,80.34,Working,0.65,No issue
2024-10-11,Server_1,70.22,85.99,67.99,21.74,66.66,Working,0.45,No issue
2024-10-11,Server_2,81.84,39.53,62.65,34.89,64.35,Working,0.39,No issue
2024-10-11,Server_3,33.29,34.98,61.35,23.72,31.45,Working,0.48,No issue
2024-10-11,Server_4,57.88,73.54,33.08,23.71,53.22,Working,0.0,No issue
2024-10-11,Server_5,81.76,22.58,75.14,18.28,56.33,Working,0.81,No issue
2024-10-11,Server_6,11.37,73.95,68.63,36.34,39.88,Working,0.54,No issue
2024-10-11,Server_7,79.18,59.67,32.37,16.34,66.1,Working,0.0,No issue
2024-10-11,Server_8,60.4,76.84,55.99,35.95,60.21,Working,0.08,No issue
2024-10-11,Server_9,59.57,67.27,52.27,35.88,53.77,Working,0.09,No issue
2024-10-11,Server_10,81.9,81.53,55.6,20.84,69.3,Working,0.34,No issue
2024-10-11,Server_11,47.42,58.82,70.36,28.08,57.1,Working,0.69,No issue
2024-10-11,Server_12,77.08,29.97,36.21,38.95,54.63,Working,0.0,No issue
2024-10-11,Server_13,12.99,47.33,53.05,15.96,25.31,Working,0.02,No issue
2024-10-11,Server_14,53.97,59.9,65.33,35.12,60.02,Working,0.38,No issue
2024-10-11,Server_15,33.0,26.76,36.7,29.84,29.86,Working,0.0,No issue
2024-10-11,Server_16,75.33,27.22,73.43,27.34,62.03,Working,0.62,No issue
2024-10-11,Server_17,72.15,45.33,60.4,30.91,75.9,Working,0.48,No issue
2024-10-11,Server_18,16.87,88.11,79.25,36.4,52.37,Working,1.0,No issue
2024-10-11,Server_19,33.13,50.23,49.16,19.06,42.99,Working,0.0,No issue
2024-10-11,Server_20,74.1,26.32,47.48,39.97,67.88,Warning,0.0,Power fluctuation
2024-10-12,Server_1,19.25,51.28,33.09,16.68,30.22,Warning,0.0,Power fluctuation
2024-10-12,Server_2,13.76,39.27,55.77,19.47,18.58,Working,0.16,No issue
2024-10-12,Server_3,86.47,21.45,73.97,25.89,59.2,Working,0.75,No issue
2024-10-12,Server_4,18.86,33.58,42.2,26.79,30.35,Working,0.0,No issue
2024-10-12,Server_5,62.47,75.13,42.84,28.53,61.03,Working,0.0,No issue
2024-10-12,Server_6,86.93,33.02,42.18,34.16,56.66,Working,0.0,No issue
2024-10-12,Server_7,68.06,49.54,75.02,25.87,55.7,Working,0.73,No issue
2024-10-12,Server_8,13.29,73.72,77.23,17.16,34.67,Working,0.85,No issue
2024-10-12,Server_9,40.83,68.34,43.65,25.28,48.68,Working,0.0,No issue
2024-10-12,Server_10,45.79,85.88,65.59,16.07,62.3,Working,0.44,No issue
2024-10-12,Server_11,26.24,82.48,69.42,16.32,51.3,Working,0.78,No issue
2024-10-12,Server_12,20.6,74.14,43.71,31.06,48.99,Working,0.0,No issue
2024-10-12,Server_13,62.61,50.09,39.17,22.94,54.65,Working,0.0,No issue
2024-10-12,Server_14,31.71,80.09,60.15,26.44,56.4,Working,0.33,No issue
2024-10-12,Server_15,86.37,32.86,33.51,36.77,67.33,Working,0.0,No issue
2024-10-12,Server_16,16.44,48.42,68.17,31.05,33.25,Working,0.71,No issue
2024-10-12,Server_17,24.4,50.41,31.89,15.7,27.13,Failed,0.0,Slight vibration
2024-10-12,Server_18,12.44,35.81,32.84,33.17,24.61,Working,0.0,No issue
2024-10-12,Server_19,62.62,41.83,36.92,21.07,54.58,Working,0.0,No issue
2024-10-12,Server_20,14.82,84.05,30.87,31.88,37.32,Working,0.0,No issue
2024-10-13,Server_1,93.68,57.48,44.32,23.51,70.68,Warning,0.0,No issue
2024-10-13,Server_2,47.71,58.15,39.87,28.96,48.16,Working,0.0,No issue
2024-10-13,Server_3,52.9,82.53,68.46,22.45,53.96,Working,0.55,No issue
2024-10-13,Server_4,39.05,34.19,66.78,39.67,49.8,Working,0.6,No issue
2024-10-13,Server_5,48.12,33.72,39.22,31.16,36.91,Working,0.0,No issue
2024-10-13,Server_6,61.82,29.39,66.24,35.53,55.35,Working,0.4,No issue
2024-10-13,Server_7,55.67,30.81,41.07,33.56,46.59,Failed,0.0,Fan noise
2024-10-13,Server_8,26.56,28.4,48.89,32.77,30.82,Working,0.0,No issue
2024-10-13,Server_9,59.72,34.91,65.15,37.61,53.19,Working,0.43,No issue
2024-10-13,Server_10,28.95,64.57,49.15,30.09,49.92,Working,0.04,No issue
2024-10-13,Server_11,13.23,46.7,77.44,15.02,44.49,Working,0.85,No issue
2024-10-13,Server_12,29.68,35.84,44.87,34.57,28.17,Working,0.0,No issue
2024-10-13,Server_13,12.91,82.23,73.01,18.12,38.28,Working,0.58,No issue
2024-10-13,Server_14,72.92,61.63,44.85,37.63,63.64,Working,0.0,No issue
2024-10-13,Server_15,22.03,62.78,51.29,21.23,35.76,Warning,0.11,Needs replacement
2024-10-13,Server_16,33.59,39.64,40.04,27.8,37.0,Working,0.0,No issue
2024-10-13,Server_17,38.2,42.29,53.45,39.21,34.65,Working,0.05,No issue
2024-10-13,Server_18,23.79,35.31,31.33,21.95,33.7,Working,0.0,No issue
2024-10-13,Server_19,33.84,45.76,61.72,17.31,49.89,Working,0.35,No issue
2024-10-13,Server_20,91.52,71.59,44.87,19.54,81.22,Working,0.0,No issue
2024-10-14,Server_1,22.28,86.1,63.26,24.13,47.32,Working,0.46,No issue
2024-10-14,Server_2,26.92,66.49,70.03,26.52,39.39,Working,0.49,No issue
2024-10-14,Server_3,88.71,43.44,39.57,30.02,57.3,Working,0.0,No issue
2024-10-14,Server_4,71.32,81.76,59.63,28.2,65.44,Working,0.23,No issue
2024-10-14,Server_5,31.31,77.26,61.77,29.62,55.75,Failed,0.37,Slight vibration
2024-10-14,Server_6,78.79,48.96,42.7,20.51,59.88,Working,0.0,No issue
2024-10-14,Server_7,18.42,29.74,68.66,39.54,36.09,Working,0.54,No issue
2024-10-14,Server_8,23.13,28.22,60.05,16.32,30.2,Working,0.44,No issue
2024-10-14,Server_9,49.28,50.75,37.48,24.71,45.93,Working,0.0,No issue
2024-10-14,Server_10,59.39,55.8,43.0,24.64,51.3,Working,0.0,No issue
2024-10-14,Server_11,64.46,56.33,53.43,25.87,59.41,Working,0.34,No issue
2024-10-14,Server_12,72.08,20.59,77.61,34.12,57.82,Working,1.0,No issue
2024-10-14,Server_13,60.66,82.51,68.75,25.11,65.48,Working,0.51,No issue
2024-10-14,Server_14,16.71,62.79,71.08,39.93,45.31,Working,0.73,No issue
2024-10-14,Server_15,93.58,65.25,67.46,35.34,83.59,Working,0.61,No issue
2024-10-14,Server_16,72.02,31.95,72.38,31.07,56.88,Working,0.84,No issue
2024-10-14,Server_17,47.12,62.46,78.44,17.63,63.82,Working,0.85,No issue
2024-10-14,Server_18,77.97,43.56,71.04,34.55,75.72,Working,0.68,No issue
2024-10-14,Server_19,63.11,80.38,33.72,19.57,71.1,Working,0.0,No issue
2024-10-14,Server_20,49.2,80.64,77.99,35.53,68.34,Working,0.8,No issue
2024-10-15,Server_1,37.28,39.5,46.82,17.71,42.77,Warning,0.0,Overheating
2024-10-15,Server_2,90.29,36.08,65.27,24.9,74.92,Warning,0.45,Slight vibration
2024-10-15,Server_3,68.94,49.48,44.33,26.14,55.04,Working,0.0,No issue
2024-10-15,Server_4,82.46,48.56,67.97,34.9,63.81,Warning,0.72,Fan noise
2024-10-15,Server_5,22.6,73.77,49.05,30.12,52.22,Working,0.12,No issue
2024-10-15,Server_6,60.95,81.86,45.55,16.48,68.57,Working,0.0,No issue
2024-10-15,Server_7,91.52,39.42,33.84,37.9,67.2,Working,0.0,No issue
2024-10-15,Server_8,51.55,46.07,66.7,34.02,54.88,Working,0.48,No issue
2024-10-15,Server_9,69.85,45.27,51.35,15.23,56.01,Warning,0.07,Overheating
2024-10-15,Server_10,63.27,43.78,75.75,15.17,54.36,Warning,0.85,Power fluctuation
2024-10-15,Server_11,52.56,23.8,42.74,15.05,44.39,Working,0.0,No issue
2024-10-15,Server_12,41.86,86.63,63.94,33.77,57.77,Working,0.54,No issue
2024-10-15,Server_13,70.92,36.75,30.06,30.35,49.81,Working,0.0,No issue
2024-10-15,Server_14,61.31,64.95,47.47,19.59,55.52,Warning,0.07,No issue
2024-10-15,Server_15,33.21,58.39,63.05,20.82,44.81,Warning,0.23,Slight vibration
2024-10-15,Server_16,49.66,86.75,75.91,37.99,66.61,Working,0.71,No issue
2024-10-15,Server_17,65.02,32.91,37.79,23.64,54.56,Working,0.0,No issue
2024-10-15,Server_18,13.31,44.15,70.27,17.66,37.85,Working,0.6,No issue
2024-10-15,Server_19,49.24,68.09,70.4,34.87,57.64,Working,0.61,No issue
2024-10-15,Server_20,18.45,84.3,32.11,33.29,47.04,Warning,0.0,Overheating
2024-10-16,Server_1,63.02,78.76,33.81,24.16,54.35,Working,0.0,No issue
2024-10-16,Server_2,54.22,50.55,53.68,27.3,47.95,Working,0.14,No issue
2024-10-16,Server_3,39.62,22.01,76.45,33.87,46.37,Working,0.74,No issue
2024-10-16,Server_4,91.43,67.64,53.92,27.78,77.67,Working,0.17,No issue
2024-10-16,Server_5,49.6,72.94,76.14,22.33,60.61,Working,0.75,No issue
2024-10-16,Server_6,62.51,41.7,53.7,30.35,48.16,Working,0.18,No issue
2024-10-16,Server_7,49.74,45.08,45.7,25.94,43.5,Working,0.0,No issue
2024-10-16,Server_8,32.55,42.79,76.2,24.58,44.24,Working,0.78,No issue
2024-10-16,Server_9,47.72,66.28,48.32,21.76,67.59,Working,0.0,No issue
2024-10-16,Server_10,16.11,71.83,57.81,36.27,35.73,Working,0.31,No issue
2024-10-16,Server_11,13.72,79.86,67.99,26.72,48.91,Working,0.62,No issue
2024-10-16,Server_12,84.21,68.1,42.3,31.52,72.17,Working,0.0,No issue
2024-10-16,Server_13,45.72,62.42,42.14,19.86,59.65,Working,0.0,No issue
2024-10-16,Server_14,76.65,64.42,54.34,25.4,69.59,Working,0.07,No issue
2024-10-16,Server_15,52.22,66.12,72.31,36.95,60.45,Warning,0.81,Slight vibration
2024-10-16,Server_16,52.34,72.83,52.39,30.92,61.5,Working,0.12,No issue
2024-10-16,Server_17,66.62,46.37,59.78,16.55,60.98,Working,0.18,No issue
2024-10-16,Server_18,44.8,68.17,30.22,20.42,45.57,Working,0.0,No issue
